1abz
1coi
1mey
1qp6
1v1d
1zim
2a3d
2n6h, r, all-b
2n6i, r, all-b
2p6j
3al1
3i1c
3kd7
3lhp
3u0s
3vcd
4fzp
4hb1
4ndk
4ndl
4oyd
4qtr
4yc5
5i9d
5i9f
5i9h
5kwd, cp, ankyrin repeat
5vid
5vli
5vmr
6e9t
6e9v
6e9y
6e9z
6iwb
6s3d
6wrv
6wrx
7aye
7dne
7dnf
7dng
7fao
7jzl
7rdr
7xyq
7z7c
7zss
7zyu
8aed
8evm
8ot7
8qaa
8qab
8qac
8qad
8qae
8qaf
8qag
8qah
8qai
8qkd
8t5e
8tcf
8tcg
