year_group,alpha helix,beta strand,loop,hbonded turn,bend,3 10 helix,beta bridge,pi helix
95-00,0.7115716753022453,0.0,0.15889464594127803,0.0466321243523316,0.06735751295336785,0.0051813471502590676,0.01036269430051813,0.0
00-05,0.6023635731664929,0.07507820646506778,0.21724018074383034,0.06743135210288492,0.025026068821689246,0.0024330900243309003,0.006951685783802567,0.003475842891901283
05-10,0.5907617504051864,0.09481361426256078,0.18800648298217176,0.07820097244732575,0.04416531604538085,0.0016207455429497568,0.0024311183144246316,0.0
10-15,0.4509028809968059,0.16318269504443247,0.20742544511558772,0.09253344296511808,0.05553271560039211,0.021631194459378233,0.0076847664526738454,0.0011068593656114575
15-20,0.5248043818466354,0.12256651017214397,0.1789201877934272,0.10679186228482,0.04230046948356805,0.01508607198748042,0.009139280125195609,0.00039123630672926335
20-25,0.534505794619156,0.15463304669244668,0.15080724430396877,0.08364969776161128,0.05405564482427791,0.015344410502710413,0.00505594500261919,0.0019482162932094901
PDB,0.3245582888512395,0.21372786411011102,0.20622532926907097,0.11055959116039703,0.08947596710606259,0.03690366478294781,0.012103706058204319,0.0064455886619665176
